2022-10-19 18:11:29 | 5 - 2 = 3
2022-10-19 18:11:33 | 3 - 4 = -1
2022-10-19 18:11:38 | -1 + 5 = 4
2022-10-19 18:16:14 | Ошибка ввода данных
2022-10-19 18:16:32 | Ошибка ввода данных
2022-10-19 18:16:38 | Ошибка ввода данных
2022-10-19 18:16:42 | Ошибка ввода данных
2022-10-19 18:16:43 | Ошибка ввода данных
2022-10-19 18:16:46 | 4 / 4 = 1
2022-10-19 18:17:02 | Ошибка ввода данных
2022-10-19 18:17:09 | Ошибка ввода данных
2022-10-19 18:18:12 | Ошибка ввода данных
2022-10-19 18:18:19 | Ошибка ввода данных
2022-10-19 18:18:54 | 3 % 35 = 3
2022-10-19 18:19:10 | Ошибка ввода данных
2022-10-19 18:19:18 | Ошибка ввода данных
2022-10-19 18:21:05 | Ошибка ввода данных
2022-10-19 18:21:08 | Ошибка ввода данных
2022-10-19 18:21:15 | 3 + 3 = 6
